de	41526036
la	19325323
en	16507105
el	14811368
y	12506209
a	8475124
que	7701031
del	7322559
los	6704393
se	5296001
por	4755428
un	4477760
con	4205422
las	4085762
una	3968687
su	3532830
es	3335480
para	2674688
al	2618065
como	2597946
fue	1886091
no	1729629
más	1532339
o	1419189
lo	1189208
sus	1149683
también	1045448
redirección	954519
entre	907193
este	799342
año	744858
pero	698603
dos	698409
años	688342
son	686449
referencias	677693
le	674609
sobre	667144
esta	655648
desde	650096
enlaces	635013
san	614324
externos	606652
ha	605351
hasta	597072
ciudad	592835
ser	565219
parte	561659
sin	559427
durante	558446
donde	541123
era	529439
primera	485062
españa	485018
e	478271
está	474477
cuando	473696
estados	473041
tiene	449310
gran	448239
después	446296
unidos	439660
nombre	433339
ya	426400
siglo	424333
historia	413539
nacional	412242
población	399531
otros	397139
km	386419
estado	382239
eran	381067
puede	376060
uno	373107
primer	365976
muy	358542
nueva	356545
club	353912
si	351988
así	351017
había	344770
cual	338300
mismo	336844
fueron	333516
c	329924
grupo	326036
vez	324167
forma	319897
tres	316087
general	313425
d	309372
josé	308809
según	305677
juan	305674
guerra	305157
sur	304403
familia	304295
aunque	302172
mayor	300864
lugar	299532
